id,description,details,currency,unitPrice,unitType
-LK3b7Gr7CLKZ6XxUY15,Serviços de Manutenção Corretiva.,,,"R$150,00",valor cobrado por hora técnica. Sem peças.
-LKwfKZtgDofLsovTGAI,Suporte Tecnico Reparo Condomínios/Corporativos Grande Recife,,,"R$200,00",Por visita. Sem peças. Garantia 90 dias.
-LLFWkwlFepzA0vciZ2J,Serviços de Manutenção Preventiva e Corretiva.,,,,
-LM3bkBPFwX-hx4gZc-A,Levantamento Técnico.,,,,
-M83J8gxdZAnyQl7loX9,INSTALAÇÃO DE SISTEMA DE MONITORAMENTO POR CÂMERAS DE VÍDEO - CFTV,,BRL,"R$150,00",PNT
-MCCh_QAqRmyjamkrAzV,CABEAMENTO ESTRUTURADO CÂMERA ,,BRL,"R$200,00",Sv
-MI17wy6njK3fgzgtbRy,Cabeamento estruturado Antena de TV,,BRL,"R$150,00",Sv
-MI5eNQqqoEFJARt1wQa,Instalação e ativação ponto de TV,,BRL,"R$150,00",SV
-MIJl4nWnTvKLyTM_-wq,Substituição de Equipamento e/ou Peça ,,BRL,,AV
-MKAPJ3iaIqiOqllxH1o,Manutenção Corretiva,,BRL,,Sv Convênio 
-MM_OW9OYWArq6dNxcjA,Serviços Marcenaria ,,BRL,"R$100,00",Srv
-MMfDgHNfu0D5es6bMtv,Atendimento Emergencial Seg. Eletrônica ,,BRL,,Svç 
-MMpTN_Cn0eOulahz17K,Serviço de instalação de sistema Cerca Eletrificada,,BRL,"R$15,00",Metro
-MNBRCTvLDKzWhVZLh7T,Reparo na fiação de ligação da sinaleira.,,BRL,,Sv
-MUoCAgWIQO8-cMZSQGj,Cabeamento estruturado antena coletiva - fôrro gesso.,,BRL,"R$ 300,00",Sv
-MYeHGRb4cDwt5NAgla8,Instalação de Câmera,,BRL,"R$150,00",Sv
-MYeIn0lOaq8BJF0HFG7,Conversor Vídeo Balun,,BRL,"R$34,00",UN
-MYeIy5NXUUP-GRaK6E3,Conector P4 macho Borne,,BRL,"R$4,50",UN
-MYeJAHY8ENTxLBSJ92G,Fonte Alimentação 12V/10amp,,BRL,"R$165,00",UN
-MYeJZ6vRKExWgUmc2WD,Caixa Organizadora DVR 16CH,,BRL,"R$245,00",UN
-MYeJkzna7k8WT7A5R94,Câmera Infravermelho 20m Dome,,BRL,"R$139,00",UN
-MYeJvrIvBNhMtzn0iSE,Câmera Infravermelho 20M Bullet,,BRL,"R$159,00",UN
-MYeKCqFqJXZfCDypzCV,Patchcord CAT5E Com 1 M,,BRL,"R$19,00",PÇ
-MYeKcVn68yULIwKS8dt,Cabo UTP CAT5E COBRE COM 100M,,BRL,"R$189,00",PÇ
-MYeS5I2P2uC9dICSAoj,Locação Sistema Monitoramento por Câmeras de Segurança HD - 8CH com Acesso Remoto,,BRL,"R$480,00",MENSAL
-MYeSZgjAk05zwF-CyuU,Locação Sistema Monitoramento por Câmeras 16Ch HD - com Acesso Remoto,,BRL,"R$650,00",Mensal
-MYeT6dsIZ49vImM8lG2,Locação Sistema Monitoramento por Câmeras 8CH FULL HD - com Acesso Remoto.,,BRL,"R$650,00",mensal
-MYeTQw1Vvh40FZKE9e9,Locação Sistema Monitoramento por Câmeras 16CH FULL HD - com Acesso Remoto,,BRL,"R$850,00",MENSAL
-MYfnOzn3cW3ekRKNX66,Serviços de instalação Cerca Concertina de chumbar ,,BRL,"R$ 35,00",Metro
-MYfnXhQaUyH8yxkTyL4,Serviços de Serralharia,,BRL,"R$ 120,00",Serv 
-MbBeTEn0WCgZ0ozHzRC,Cabeamento estruturado interfone,,BRL,"R$ 150,00",Sv
-MgMYLs0-Ub9crvNFE1t,"SERVIÇOS DE INSTALAÇÃO, CONFIGURAÇÃO E ATIVAÇÃO MOTOR DESLIZANTE JET FLEX.",,BRL,"R$ 800,00",SV
-MhVAc0WX-mmHVVZHumG,SERVIÇOS DE INSTALAÇÃO E CONFIGURAÇÃO E ATIVAÇÃO SISTEMAS DE INTERTRAVAMENTO E ANTICOLISÃO.,,BRL,"R$200,00",SV
-MlA-G7mxv2_iSlUQFaY,ATUALIZAÇÃO SOFT E FIRMWARE SIST. CONTROLE ACESSO.,,BRL,"R$ 250,00",SV
-MnQrhK0bwcfXBtoVWco,"SERVIÇOS DE INSTALAÇÃO, CONFIGURAÇÃO E ATIVAÇÃO SISTEMA CFTV.",,BRL,"R$ 150,00",SV
-MnQrrfL5X3V8tf1XNTm,SERVIÇO DE CONFIGURAÇÃO E ATIVAÇÃO ACESSO REMOTO.,,BRL,"R$ 180,00",SV
-MoECXUyw592dCxQRLJu,Serviços de Instalação Sistema Comunicação Condominial.,,BRL,"R$ 15,00",SV
-MooMV3rWwp28XOBvIpf,SERVIÇOS DE INSTALAÇÃO E ATIVAÇÃO PONTO DE BOTOEIRA.,,BRL,"R$ 150,00",SV
-Mt5aMOLAnqReZUdT1d1,Reparos em uma Placa de Ramal e Placa Fonte.,,BRL,"R$250,00",SVC
-NeeUq0602tnsvRflwtt,Desbloqueio de senha DVR,,BRL,"R$ 120,00",un.
-NfHcF88hrU4IS1np148,Serviço de recuperação de senha,,BRL,"R$ 200,00",un.
-Nip79vWmYL9EpnGCzjv,Serviço de instalação e configuração da câmera wi-fi,,BRL,"R$ 150,00",
-OjGp63PRi8Mcx3cVqaw,"Visita técnica, manutenção corretiva.",,BRL,"R$ 150,00",